station,x,y,Depth (m),Substrate,Year Installed,GRSdeg,STdeg
AR01,71.37265,-5.67415,300,UNKNOWN,4,,
BE01,71.65468333,-5.256716667,23,RUBBLE,1,102,905
BE02,71.67483333,-5.2662,18.8,RUBBLE,1,101,862
BEUWM01,71.66293333,-5.24915,16,RUBBLE,2,,128
BL01,72.43386667,-5.257833333,20,REEF,1,,2
BL02,72.43473333,-5.243166667,18,REEF,2,,
EG01,71.34751667,-6.652416667,20,SAND,3,,
EG02,71.3459,-6.6373,15,REEF,3,,33
EG03,71.40103333,-6.696583333,15,REEF,3,,31
EG04,71.37903333,-6.65485,25,REEF,4,,
EG05,71.30831667,-6.651816667,25,REEF,4,,
EG06,71.33206667,-6.676583333,25,REEF,4,,
EG07,71.3246,-6.651733333,25,SAND,4,,
EG08,71.34018333,-6.634533333,25,UNKNOWN,4,,
EG09,71.39,-6.617833333,300,UNKNOWN,4,,
EG10,71.41326667,-6.568483333,75,UNKNOWN,4,,
EG4G01,71.36906667,-6.657666667,20,SAND,4,,
GCB01,72.33085,-5.682266667,20,REEF,3,2,
GCB02,72.17548333,-5.698333333,20,REEF,3,2,
GCB03,72.05191667,-5.672766667,20,REEF,3,,
GCB04,71.56296667,-5.8285,20,REEF,3,,
GCB05,71.35938333,-6.1879,20,REEF,3,,
GCB06,71.23766667,-6.458233333,20,REEF,3,,
GCB07,71.40876667,-6.566716667,20,REEF,3,,4
GCB08,71.38371667,-6.554466667,25,REEF,4,,
GCB09,71.41305,-6.553833333,25,REEF,4,,
GCB10,71.42196667,-6.573816667,25,REEF,4,,
GCB11,71.44766667,-6.5907,25,REEF,4,,
GCB12,71.47411667,-6.603283333,25,REEF,4,,
NI01,72.2547,-5.68055,20,REEF,4,,
NI02,72.2749,-5.679466667,22,REEF,4,,
NI03,72.31676667,-5.68685,27,REEF,4,,
PB01,71.73425,-5.281683333,24.5,REEF,1,77,463
PB02,71.76316667,-5.245933333,19.5,REEF,1,106,66
PB03,71.79921667,-5.246083333,18.5,REEF,1,155,84
PB04,71.80915,-5.2448,20.1,SAND,1,103,58
PB05,71.83266667,-5.234383333,18.5,REEF,1,8,30
PB06,71.8405,-5.256716667,19.8,SAND,1,8,42
PB07,71.87956667,-5.26935,18.3,SAND,1,43,20
PB08,71.89168333,-5.272666667,20.4,SAND,1,39,
PB09,71.96835,-5.24165,21.7,REEF,1,36,111
PB10,71.96976667,-5.33015,23,SAND,1,640,202
PB11,71.9727,-5.334383333,20.8,SAND,1,643,295
PB12,71.97455,-5.3789,19.5,REEF,1,27,80
PB13,71.93853333,-5.397083333,19.7,S/R,1,4,4
PB14,71.86851667,-5.42705,22.1,SAND,1,12,6
PB15,71.85241667,-5.422866667,24,SAND,1,22,23
PB16,71.84135,-5.430783333,22.7,RUBBLE,1,51,355
PB17,71.82938333,-5.440616667,20.7,RUBBLE,1,90,859
PB18,71.7582,-5.456466667,22.5,REEF,1,26,70
PB19,71.75775,-5.382283333,29.5,SAND,1,6,36
PB20,71.74676667,-5.351183333,20,REEF,1,8,61
PB21,71.97331667,-5.269483333,20,REEF,2,2,93
PB22,71.97955,-5.303883333,20,REEF,2,2,58
PB23,71.97413333,-5.352116667,20,REEF,2,4,60
PB24,71.9209,-5.41255,20,REEF,2,4,28
PB25,71.89591667,-5.4243,20,REEF,2,4,137
PB26,71.82278333,-5.46435,20,REEF,2,59,617
PB27,71.74975,-5.395616667,18.9,REEF,2,106,224
PB28,71.73233333,-5.318133333,20,REEF,2,10,201
PB29,71.90675,-5.266783333,23.1,REEF,2,,34
PB30,71.74735,-5.4261,20,REEF,2,26,78
PB4G01,71.93975,-5.258183333,19.6,RUBBLE,2,23,2
PB4G02,71.8329,-5.444983333,20,RUBBLE,2,78,155
PBUWM01,71.98115,-5.33995,20,REEF,2,6,80
PBUWM02,71.75196667,-5.388983333,20,SAND,2,80,38
PITT01,71.20195,-6.8471,20,GRAVEL,3,,
PITT02,71.31593333,-6.959533333,64,GRAVEL,4,,
PITT03,71.21235,-6.911633333,74,GRAVEL,4,,
PITT04,71.438,-7.00715,31,GRAVEL,4,,
SA01,72.24696667,-5.311833333,19.2,RUBBLE,1,613,313
SA02,72.24095,-5.305633333,19.2,REEF,1,527,2080
SA03,72.25688333,-5.2985,20.8,REEF,1,658,927
SA04,72.28101667,-5.334816667,21.5,REEF,1,16,502
SA05,72.19798333,-5.350366667,13.7,REEF,1,342,442
SA06,72.212,-5.36885,18,REEF,2,32,427
SA07,72.22098333,-5.32245,18,REEF,3,273,38
SA11,72.26356667,-5.33265,25,SAND,4,,
SA4G01,72.2425,-5.3179,20,UNKNOWN,1,,
SAUWM01,72.24508333,-5.303,13.6,REEF,2,882,1811
SB01,72.30088333,-5.067883333,20,UNKNOWN,3,,
SB02/AR02,72.26466667,-4.88,43,UNKNOWN,4,,
SB03/AR05,72.5995,-4.904333333,140,UNKNOWN,4,,
SB04/AR06,72.373,-4.739833333,39.3,UNKNOWN,4,,
SS01,72.03851667,-7.090483333,300,UNKNOWN,4,,
SS02,72.10191667,-7.138233333,250,UNKNOWN,4,,
SS03,72.14593333,-7.147933333,95,UNKNOWN,4,,
SS04,72.18855,-7.140733333,350,UNKNOWN,4,,
SS05,72.22526667,-7.142366667,370,UNKNOWN,4,,
VB01,72.2159,-5.54545,25,REEF,2,38,37
VB02,72.24053333,-5.520733333,25,REEF,2,4,69
VB03,72.21558333,-5.524716667,25,S/R,3,32,36
VB04,72.24883333,-5.546,25,S/R,3,2,7
